ID,title,release_year,genre,director,runtime_minutes,imdb_rating,rotten_tomatoes_score
The_Fall_of_the_House_of_Usher__1950_film_,The Fall of the House of Usher (1950 film),1950,Horror,Ivan Barnett,70,,
The_Amityville_Curse,The Amityville Curse,1990,Horror,Tom Berry,91,,
Kankal,Kankal,1950,Horror,,,,
Kim_Coates,Kim Coates,1990,Horror,,,,
List_of_horror_films_of_1968,List of horror films of 1968,1968,Horror,,,,
Jan_Rube%C5%A1,Jan Rubeš,1990,Horror,,,,
Any_Body...Any_Way,Any Body...Any Way,1968,Horror,Charles Romine,80,,
Cassandra_Gava,Cassandra Gava,1990,Horror,,,,
The_Astro-Zombies,The Astro-Zombies,1968,Horror,Ted V. Mikels,94,,
Arachnophobia_(film),Arachnophobia (film),1990,Horror,Frank Marshall,110,,
The_Blood_Beast_Terror,The Blood Beast Terror,1968,Horror,Vernon Sewell,88,,
Frank_Marshall_(filmmaker),Frank Marshall (filmmaker),1990,Horror,,,,
Blood_Rites__film_,Blood Rites (film),1968,Horror,Andy Milligan,72,,
Jeff_Daniels,Jeff Daniels,1990,Horror,,,,
The_Bride_From_Hades,The Bride From Hades,1968,Horror,Satsuo Yamamoto,89,,
Julian_Sands,Julian Sands,1990,Horror,,,,
Casting_the_Runes__Mystery_and_Imagination_,Casting the Runes (Mystery and Imagination),1968,Horror,,,,
Harley_Jane_Kozak,Harley Jane Kozak,1990,Horror,,,,
Corruption__1968_film_,Corruption (1968 film),1968,Horror,Robert Hartford-Davis,91,,
John_Goodman,John Goodman,1990,Horror,,,,
Curse_of_the_Crimson_Altar,Curse of the Crimson Altar,1968,Horror,Vernon Sewell,89,,
Baby_Blood,Baby Blood,1990,Horror,Alain Robak,84,,
Death_Laid_an_Egg,Death Laid an Egg,1968,Horror,Giulio Questi,110,,
Bandh_Darwaza,Bandh Darwaza,1990,Horror,Shyam Ramsay Tulsi Ramsay,145,,
The_Devil_Rides_Out__film_,The Devil Rides Out (film),1968,Horror,Terence Fisher,95,,
Shyam_Ramsay,Shyam Ramsay,1990,Horror,,,,
Dracula_Has_Risen_from_the_Grave,Dracula Has Risen from the Grave,1968,Horror,Freddie Francis,92,,
Kunika,Ajatashatru,1990,Horror,,,,
La_endemoniada,La endemoniada,1968,Horror,Emilio Gómez Muriel,83,,
Manjeet_Kullar,Manjeet Kullar,1990,Horror,,,,
Genocide__1968_film_,Genocide (1968 film),1968,Horror,Kazui Nihonmatsu,84,,
Basket_Case_2,Basket Case 2,1990,Horror,Frank Henenlotter,90,,
The_Ghosts_of_Hanley_House,The Ghosts of Hanley House,1968,Horror,Louise Sherrill,85,,
Frank_Henenlotter,Frank Henenlotter,1990,Horror,,,,
Goke__Body_Snatcher_from_Hell,"Goke, Body Snatcher from Hell",1968,Horror,Hajime Sato [ ja ] [ 1 ],84,,
Annie_Ross,Annie Ross,1990,Horror,,,,
The_Hand_of_Night,The Hand of Night,1968,Horror,Frederic Goode,90,,
Beyond_Darkness,Beyond Darkness,1990,Horror,Claudio Fragasso,,,
Hasta_el_viento_tiene_miedo,Hasta el viento tiene miedo,1968,Horror,Carlos Enrique Taboada,90,,
Claudio_Fragasso,Claudio Fragasso,1990,Horror,,,,
Hour_of_the_Wolf,Hour of the Wolf,1968,Horror,Ingmar Bergman,88,,
David_Brandon_(actor),David Brandon (actor),1990,Horror,,,,
Journey_into_Darkness__film_,Journey into Darkness (film),1968,Horror,Peter Sasdy James Hill,107,,
Blood_Games_(film),Blood Games (film),1990,Horror,Tanya Rosenberg,90,,
Kuroneko,Kuroneko,1968,Horror,Kaneto Shindō,99,,
Bloodmoon_(1990_film),Bloodmoon (1990 film),1990,Horror,Alec Mills,100,,
The_Living_Skeleton,The Living Skeleton,1968,Horror,Hiroshi Matsuno,80,,
Leon_Lissek,Leon Lissek,1990,Horror,,,,
The_Mark_of_the_Wolfman,The Mark of the Wolfman,1968,Horror,Enrique López Eguiluz,88,,
Christine_Amor,Christine Amor,1990,Horror,,,,
Night_of_the_Living_Dead,Night of the Living Dead,1968,Horror,George A. Romero,96,,
John_Saxon,John Saxon,1990,Horror,,,,
Rosemary_27s_Baby__film_,Rosemary's Baby (film),1968,Horror,Roman Polanski,137,,
Ray_Walston,Ray Walston,1990,Horror,,,,
The_Snake_Girl_and_the_Silver-Haired_Witch,The Snake Girl and the Silver-Haired Witch,1968,Horror,Noriaki Yuasa,82,,
Brain_Dead_(1990_film),Brain Dead (1990 film),1990,Horror,Adam Simon,85,,
The_Snow_Woman,The Snow Woman,1968,Horror,Tokuzō Tanaka,80,,
Adam_Simon,Adam Simon,1990,Horror,,,,
Spirits_of_the_Dead,Spirits of the Dead,1968,Horror,Roger Vadim Louis Malle Federico Fellini,121,,
Bill_Pullman,Bill Pullman,1990,Horror,,,,
The_Strange_Case_of_Dr._Jekyll_and_Mr._Hyde__1968_film_,The Strange Case of Dr. Jekyll and Mr. Hyde (1968 film),1968,Horror,Charles Jarrott,120,,
Bill_Paxton,Bill Paxton,1990,Horror,,,,
The_Strange_World_of_Coffin_Joe,The Strange World of Coffin Joe,1968,Horror,Jose Mojica Marins,80,,
George_Kennedy,George Kennedy,1990,Horror,,,,
Succubus__film_,Succubus (film),1968,Horror,Jesús Franco,82,,
Bride_of_Re-Animator,Bride of Re-Animator,1990,Horror,Brian Yuzna,96,,
Trilogy_of_Terror__1968_film_,Trilogy of Terror (1968 film),1968,Horror,José Mojica Marins Luís Sérgio Person Ozualdo Candeias,115,,
Brian_Yuzna,Brian Yuzna,1990,Horror,,,,
Twisted_Nerve,Twisted Nerve,1968,Horror,Roy Boulting,118,,
Jeffrey_Combs,Jeffrey Combs,1990,Horror,,,,
Le_viol_du_vampire,Le viol du vampire,1968,Horror,Jean Rollin,95,,
Bruce_Abbott,Bruce Abbott,1990,Horror,,,,
Witchfinder_General__film_,Witchfinder General (film),1968,Horror,Michael Reeves,86,,
H._P._Lovecraft,H. P. Lovecraft,1990,Horror,,,,
Yokai_Monsters,Yokai Monsters,1968,Horror,,,,
Buried_Alive_(1990_TV_film),Buried Alive (1990 TV film),1990,Horror,Frank Darabont,93,,
Frank_Darabont,Frank Darabont,1990,Horror,,,,
Jennifer_Jason_Leigh,Jennifer Jason Leigh,1990,Horror,,,,
Buried_Alive_(1990_theatrical_film),Buried Alive (1990 theatrical film),1990,Horror,Gérard Kikoïne,87,,
Donald_Pleasence,Donald Pleasence,1990,Horror,,,,
Karen_Witter,Karen Witter,1990,Horror,,,,
John_Carradine,John Carradine,1990,Horror,,,,
Harry_Alan_Towers,Harry Alan Towers,1990,Horror,,,,
Edgar_Allan_Poe,Edgar Allan Poe,1990,Horror,,,,
Cat_in_the_Brain,Cat in the Brain,1990,Horror,Lucio Fulci,89,,
Lucio_Fulci,Lucio Fulci,1990,Horror,,,,
Brett_Halsey,Brett Halsey,1990,Horror,,,,
Child%27s_Play_2,Child's Play 2,1990,Horror,John Lafia,84,,
Alex_Vincent_(actor),Alex Vincent (actor),1990,Horror,,,,
Jenny_Agutter,Jenny Agutter,1990,Horror,,,,
Gerrit_Graham,Gerrit Graham,1990,Horror,,,,
Cthulhu_Mansion,Cthulhu Mansion,1990,Horror,Juan Piquer Simón [ 1 ],92,,
Juan_Piquer_Sim%C3%B3n,Juan Piquer Simón,1990,Horror,,,,
Frank_Finlay,Frank Finlay,1990,Horror,,,,
Melanie_Shatner,Melanie Shatner,1990,Horror,,,,
The_Dark_Side_of_the_Moon_(1990_film),The Dark Side of the Moon (1990 film),1990,Horror,D.J. Webster,,,
Joe_Turkel,Joe Turkel,1990,Horror,,,,
Daughter_of_Darkness_(1990_film),Daughter of Darkness (1990 film),1990,Horror,Stuart Gordon [ 2 ],120,,
Stuart_Gordon,Stuart Gordon,1990,Horror,,,,
Mia_Sara,Mia Sara,1990,Horror,,,,
Jack_Coleman_(actor),Jack Coleman (actor),1990,Horror,,,,
Anthony_Perkins,Anthony Perkins,1990,Horror,,,,
Dead_Girls_(film),Dead Girls (film),1990,Horror,Dennis Devine,105,,
Deadly_Manor,Deadly Manor,1990,Horror,José Ramón Larraz,86,,
Jos%C3%A9_Ram%C3%B3n_Larraz,José Ramón Larraz,1990,Horror,,,,
Def_by_Temptation,Def by Temptation,1990,Horror,James Bond III,94,,
Kadeem_Hardison,Kadeem Hardison,1990,Horror,,,,
Samuel_L._Jackson,Samuel L. Jackson,1990,Horror,,,,
Bill_Nunn,Bill Nunn,1990,Horror,,,,
Demonia_(film),Demonia (film),1990,Horror,Lucio Fulci,,,
The_Exorcist_III,The Exorcist III,1990,Horror,William Peter Blatty,110,,
William_Peter_Blatty,William Peter Blatty,1990,Horror,,,,
George_C._Scott,George C. Scott,1990,Horror,,,,
Ed_Flanders,Ed Flanders,1990,Horror,,,,
Brad_Dourif,Brad Dourif,1990,Horror,,,,
Fear_(1990_film),Fear (1990 film),1990,Horror,Rockne S. O'Bannon,90,,
Rockne_S._O%27Bannon,Rockne S. O'Bannon,1990,Horror,,,,
Ally_Sheedy,Ally Sheedy,1990,Horror,,,,
Lauren_Hutton,Lauren Hutton,1990,Horror,,,,
The_First_Power,The First Power,1990,Horror,Robert Resnikoff,98,,
Lou_Diamond_Phillips,Lou Diamond Phillips,1990,Horror,,,,
Tracy_Griffith,Tracy Griffith,1990,Horror,,,,
Jeff_Kober,Jeff Kober,1990,Horror,,,,
Flatliners,Flatliners,1990,Horror,Joel Schumacher,114,,
Joel_Schumacher,Joel Schumacher,1990,Horror,,,,
Kiefer_Sutherland,Kiefer Sutherland,1990,Horror,,,,
Julia_Roberts,Julia Roberts,1990,Horror,,,,
Kevin_Bacon,Kevin Bacon,1990,Horror,,,,
Frankenhooker,Frankenhooker,1990,Horror,Frank Henenlotter,84,,
Charlotte_Kemp_(model),List of Playboy Playmates of 1982,1990,Horror,,,,
Frankenstein_Unbound,Frankenstein Unbound,1990,Horror,Roger Corman,85,,
Roger_Corman,Roger Corman,1990,Horror,,,,
John_Hurt,John Hurt,1990,Horror,,,,
Raul_Julia,Raul Julia,1990,Horror,,,,
Nick_Brimble,Nick Brimble,1990,Horror,,,,
Ghost_(1990_film),Ghost (1990 film),1990,Horror,Jerry Zucker,127,,
Jerry_Zucker,Jerry Zucker,1990,Horror,,,,
Patrick_Swayze,Patrick Swayze,1990,Horror,,,,
Demi_Moore,Demi Moore,1990,Horror,,,,
Whoopi_Goldberg,Whoopi Goldberg,1990,Horror,,,,
Jackie_Martling,Jackie Martling,1990,Horror,,,,
Richard_Bright_(actor),Richard Bright (actor),1990,Horror,,,,
Graveyard_Shift_(1990_film),Graveyard Shift (1990 film),1990,Horror,Ralph S. Singleton,86,,
David_Andrews_(actor),David Andrews (actor),1990,Horror,,,,
Stephen_Macht,Stephen Macht,1990,Horror,,,,
Stephen_King,Stephen King,1990,Horror,,,,
Joe_Dante,Joe Dante,1990,Horror,,,,
Zach_Galligan,Zach Galligan,1990,Horror,,,,
Phoebe_Cates,Phoebe Cates,1990,Horror,,,,
John_Glover_(actor),John Glover (actor),1990,Horror,,,,
Christopher_Lee,Christopher Lee,1990,Horror,,,,
Grim_Prairie_Tales,Grim Prairie Tales,1990,Horror,Wayne Coe,86,,
James_Earl_Jones,James Earl Jones,1990,Horror,,,,
Will_Hare,Will Hare,1990,Horror,,,,
The_Guardian_(1990_film),The Guardian (1990 film),1990,Horror,William Friedkin,92,,
William_Friedkin,William Friedkin,1990,Horror,,,,
Jenny_Seagrove,Jenny Seagrove,1990,Horror,,,,
Dwier_Brown,Dwier Brown,1990,Horror,,,,
Carey_Lowell,Carey Lowell,1990,Horror,,,,
The_Haunting_of_Morella,The Haunting of Morella,1990,Horror,Jim Wynorski,87,,
Jim_Wynorski,Jim Wynorski,1990,Horror,,,,
David_McCallum,David McCallum,1990,Horror,,,,
Nicole_Eggert,Nicole Eggert,1990,Horror,,,,
Mira_Banjac,Mira Banjac,1990,Horror,,,,
The_Hook_of_Woodland_Heights,The Hook of Woodland Heights,1990,Horror,Michael Savino,40,,
I_Bought_a_Vampire_Motorcycle,I Bought a Vampire Motorcycle,1990,Horror,Dirk Campbell,105,,
Dirk_Campbell,Mont Campbell,1990,Horror,,,,
Neil_Morrissey,Neil Morrissey,1990,Horror,,,,
George_Rossi,George Rossi,1990,Horror,,,,
Burt_Kwouk,Burt Kwouk,1990,Horror,,,,
I%27m_Dangerous_Tonight,I'm Dangerous Tonight,1990,Horror,Tobe Hooper [ 2 ],92,,
Tobe_Hooper,Tobe Hooper,1990,Horror,,,,
M%C3%A4dchen_Amick,Mädchen Amick,1990,Horror,,,,
Corey_Parker_(actor),Corey Parker (actor),1990,Horror,,,,
Dee_Wallace,Dee Wallace,1990,Horror,,,,
Jacob%27s_Ladder_(1990_film),Jacob's Ladder (1990 film),1990,Horror,Adrian Lyne,113,,
Adrian_Lyne,Adrian Lyne,1990,Horror,,,,
Tim_Robbins,Tim Robbins,1990,Horror,,,,
Elizabeth_Pe%C3%B1a,Elizabeth Peña,1990,Horror,,,,
Danny_Aiello,Danny Aiello,1990,Horror,,,,
Ving_Rhames,Ving Rhames,1990,Horror,,,,
Jeff_Burr,Jeff Burr,1990,Horror,,,,
Kate_Hodge,Kate Hodge,1990,Horror,,,,
Viggo_Mortensen,Viggo Mortensen,1990,Horror,,,,
William_Butler_(actor),William Butler (actor),1990,Horror,,,,
Linnea_Quigley,Linnea Quigley,1990,Horror,,,,
Luther_the_Geek,Luther the Geek,1990,Horror,Carlton J. Albright,80,,
Maniac_Cop_2,Maniac Cop 2,1990,Horror,William Lustig,88,,
William_Lustig,William Lustig,1990,Horror,,,,
Maniac_Nurses_Find_Ecstasy,Maniac Nurses Find Ecstasy,1990,Horror,Léon Paul De Bruyn,74,,
Charles_Band,Charles Band,1990,Horror,,,,
Vernon_Dobtcheff,Vernon Dobtcheff,1990,Horror,,,,
Sherilyn_Fenn,Sherilyn Fenn,1990,Horror,,,,
Phil_Fondacaro,Phil Fondacaro,1990,Horror,,,,
Jennifer_McAllister,Jenny McAllister,1990,Horror,,,,
Todd_Caldecott,Todd Caldecott,1990,Horror,,,,
"Mirror,_Mirror_(1990_film)","Mirror, Mirror (1990 film)",1990,Horror,Marina Sargenti,104,,
Marina_Sargenti,Marina Sargenti,1990,Horror,,,,
Karen_Black,Karen Black,1990,Horror,,,,
Yvonne_De_Carlo,Yvonne De Carlo,1990,Horror,,,,
Misery_(film),Misery (film),1990,Horror,Rob Reiner,107,,
Rob_Reiner,Rob Reiner,1990,Horror,,,,
Kathy_Bates,Kathy Bates,1990,Horror,,,,
James_Caan,James Caan,1990,Horror,,,,
Lauren_Bacall,Lauren Bacall,1990,Horror,,,,
Nightbreed,Nightbreed,1990,Horror,Clive Barker,102,,
Clive_Barker,Clive Barker,1990,Horror,,,,
Craig_Sheffer,Craig Sheffer,1990,Horror,,,,
David_Cronenberg,David Cronenberg,1990,Horror,,,,
The_Night_Brings_Charlie,The Night Brings Charlie,1990,Horror,Tom Logan,77,,
Tom_Logan_(director),Tom Logan (director),1990,Horror,,,,
Keith_Hudson,Keith Hudson,1990,Horror,,,,
Fred_Travalena,Fred Travalena,1990,Horror,,,,
Night_of_the_Living_Dead_(1990_film),Night of the Living Dead (1990 film),1990,Horror,Tom Savini,92,,
Tom_Savini,Tom Savini,1990,Horror,,,,
Tony_Todd,Tony Todd,1990,Horror,,,,
Patricia_Tallman,Patricia Tallman,1990,Horror,,,,
Tom_Towles,Tom Towles,1990,Horror,,,,
Kato_Kaelin,Kato Kaelin,1990,Horror,,,,
Pale_Blood,Pale Blood,1990,Horror,V. V. Dachin Hsu Michael W. Leighton,93,,
Frazer_Smith,Frazer Smith,1990,Horror,,,,
Wings_Hauser,Wings Hauser,1990,Horror,,,,
Pledge_Night,Pledge Night,1990,Horror,Paul Ziller,86,,
Predator_2,Predator 2,1990,Horror,Stephen Hopkins,108,,
Danny_Glover,Danny Glover,1990,Horror,,,,
Gary_Busey,Gary Busey,1990,Horror,,,,
Rub%C3%A9n_Blades,Rubén Blades,1990,Horror,,,,
Peter_R._Simpson,Peter Simpson (film producer),1990,Horror,,,,
Cyndy_Preston,Cynthia Preston,1990,Horror,,,,
Mick_Garris,Mick Garris,1990,Horror,,,,
Henry_Thomas,Henry Thomas,1990,Horror,,,,
Olivia_Hussey,Olivia Hussey,1990,Horror,,,,
The_Reflecting_Skin_(film),The Reflecting Skin,1990,Horror,Philip Ridley,95,,
Repossessed_(film),Repossessed (film),1990,Horror,Bob Logan,80,,
Bob_Logan_(film_director),Bob Logan (film director),1990,Horror,,,,
Leslie_Nielsen,Leslie Nielsen,1990,Horror,,,,
Linda_Blair,Linda Blair,1990,Horror,,,,
Shakma,Shakma,1990,Horror,Hugh Parks Tom Logan,101,,
Christopher_Atkins,Christopher Atkins,1990,Horror,,,,
Amanda_Wyss,Amanda Wyss,1990,Horror,,,,
Ari_Meyers,Ari Meyers,1990,Horror,,,,
Roddy_McDowall,Roddy McDowall,1990,Horror,,,,
Shock_%27Em_Dead,Shock 'Em Dead,1990,Horror,Mark Freed,94,,
Troy_Donahue,Troy Donahue,1990,Horror,,,,
Traci_Lords,Traci Lords,1990,Horror,,,,
Neith_Hunter,Neith Hunter,1990,Horror,,,,
Clint_Howard,Clint Howard,1990,Horror,,,,
Maud_Adams,Maud Adams,1990,Horror,,,,
Singapore_Sling_(1990_film),Singapore Sling (1990 film),1990,Horror,Nikos Nikolaidis,111,,
Nikos_Nikolaidis,Nikos Nikolaidis,1990,Horror,,,,
The_Sleeping_Car,The Sleeping Car,1990,Horror,,,,
David_Naughton,David Naughton,1990,Horror,,,,
Judie_Aronson,Judie Aronson,1990,Horror,,,,
Kevin_McCarthy_(actor),Kevin McCarthy (actor),1990,Horror,,,,
Slumber_Party_Massacre_III,Slumber Party Massacre III,1990,Horror,Sally Mattison,87,,
Sorority_House_Massacre_II,Sorority House Massacre II,1990,Horror,Jim Wynorski,80,,
Soultaker_(film),Soultaker (film),1990,Horror,Michael Rissi,94,,
Joe_Estevez,Joe Estevez,1990,Horror,,,,
The_Suckling,The Suckling,1990,Horror,Francis Teri,89,,
John_Harrison_(filmmaker),John Harrison (director),1990,Horror,,,,
Debbie_Harry,Debbie Harry,1990,Horror,,,,
Christian_Slater,Christian Slater,1990,Horror,,,,
Rae_Dawn_Chong,Rae Dawn Chong,1990,Horror,,,,
Arthur_Conan_Doyle,Arthur Conan Doyle,1990,Horror,,,,
Tremors_(1990_film),Tremors (1990 film),1990,Horror,Ron Underwood,96,,
Ron_Underwood,Ron Underwood,1990,Horror,,,,
Fred_Ward,Fred Ward,1990,Horror,,,,
Finn_Carter,Finn Carter,1990,Horror,,,,
Troll_2,Troll 2,1990,Horror,Claudio Fragasso [ a ],94,,
Michael_Stephenson_(filmmaker),Michael Stephenson (filmmaker),1990,Horror,,,,
George_Hardy_(actor),George Hardy (actor),1990,Horror,,,,
Joe_D%27Amato,Joe D'Amato,1990,Horror,,,,
Two_Evil_Eyes,Two Evil Eyes,1990,Horror,George Romero Dario Argento,120,,
Dario_Argento,Dario Argento,1990,Horror,,,,
George_A._Romero,George A. Romero,1990,Horror,,,,
Adrienne_Barbeau,Adrienne Barbeau,1990,Horror,,,,
E._G._Marshall,E. G. Marshall,1990,Horror,,,,
Harvey_Keitel,Harvey Keitel,1990,Horror,,,,
Watchers_II,Watchers II,1990,Horror,Thierry Notz,,,
Marc_Singer,Marc Singer,1990,Horror,,,,
Tracy_Scoggins,Tracy Scoggins,1990,Horror,,,,
Dean_Koontz,Dean Koontz,1990,Horror,,,,
Wheels_of_Terror,Wheels of Terror,1990,Horror,Christopher Cain,85,,
Christopher_Cain,Christopher Cain,1990,Horror,,,,
Whispers_(1990_film),Whispers (1990 film),1990,Horror,Douglas Jackson,93,,
Douglas_Jackson_(filmmaker),Douglas Jackson (filmmaker),1990,Horror,,,,
Victoria_Tennant,Victoria Tennant,1990,Horror,,,,
Jean_LeClerc_(actor),Jean LeClerc (actor),1990,Horror,,,,
Harry_Bromley_Davenport,Harry Bromley Davenport,1990,Horror,,,,
Jan-Michael_Vincent,Jan-Michael Vincent,1990,Horror,,,,
Paul_Koslo,Paul Koslo,1990,Horror,,,,
Tara_Buckman,Tara Buckman,1990,Horror,,,,
German_expressionist_cinema,German expressionist cinema,1990,Horror,,,,
Phil_Hardy_(journalist),Phil Hardy (journalist),1990,Horror,,,,
Overlook_Press,The Overlook Press,1990,Horror,,,,
ISBN_(identifier),ISBN,1990,Horror,,,,
John_Kenneth_Muir,John Kenneth Muir,1990,Horror,,,,
Hal_Leonard_Corporation,Hal Leonard,1990,Horror,,,,
Internet_Movie_Database,IMDb,1990,Horror,,,,
Horror_comics,Horror comics,1990,Horror,,,,
Werewolf_fiction,Werewolf fiction,1990,Horror,,,,
Div_(mythology),Div (mythology),1990,Horror,,,,
Extraterrestrials_in_fiction,Extraterrestrials in fiction,1990,Horror,,,,
Chimera_(mythology),Chimera (mythology),1990,Horror,,,,
Piranha,Piranha,1990,Horror,,,,
Werecat,Werecat,1990,Horror,,,,
Werewolf,Werewolf,1990,Horror,,,,
Zombie,Zombie,1990,Horror,,,,
Gods_and_demons_fiction,Gods and demons fiction,1990,Horror,,,,
Deathrock,Deathrock,1990,Horror,,,,
Horror_punk,Horror punk,1990,Horror,,,,
Horrorcore,Horrorcore,1990,Horror,,,,
Bram_Stoker_Award,Bram Stoker Award,1990,Horror,,,,
Internet_Speculative_Fiction_Database,Internet Speculative Fiction Database,1990,Horror,,,,
