ID,ltable_ID,rtable_ID
0,The_Amityville_Curse,w001217
1,Arachnophobia_(film),w001218
2,Baby_Blood,w001219
3,Bandh_Darwaza,w001220
4,Basket_Case_2,w001221
5,Blood_Games_(film),w001223
6,Bloodmoon_(1990_film),w001224
7,Brain_Dead_(1990_film),w001226
8,Bride_of_Re-Animator,w001227
9,Buried_Alive_(1990_TV_film),w001228
10,Buried_Alive_(1990_theatrical_film),w001229
11,Cat_in_the_Brain,w001230
12,Child%27s_Play_2,w001231
13,Dead_Girls_(film),w001235
14,Deadly_Manor,w001236
15,Def_by_Temptation,w001237
16,The_Exorcist_III,w001238
17,Fear_(1990_film),w001239
18,The_First_Power,w001240
19,Flatliners,w001241
20,Frankenhooker,w001221
21,Frankenstein_Unbound,w001242
22,Ghost_(1990_film),w001243
23,Graveyard_Shift_(1990_film),w001245
24,Grim_Prairie_Tales,w001247
25,The_Guardian_(1990_film),w001248
26,The_Haunting_of_Morella,w001249
27,The_Hook_of_Woodland_Heights,w001251
28,I_Bought_a_Vampire_Motorcycle,w001252
29,Jacob%27s_Ladder_(1990_film),w001254
30,Luther_the_Geek,w001258
31,Maniac_Cop_2,w001259
32,Maniac_Nurses_Find_Ecstasy,w001260
33,"Mirror,_Mirror_(1990_film)",w001263
34,Misery_(film),w001264
35,Nightbreed,w001265
36,The_Night_Brings_Charlie,w001266
37,Night_of_the_Living_Dead_(1990_film),w001268
38,Pale_Blood,w001270
39,Pledge_Night,w001272
40,Predator_2,w001273
41,The_Reflecting_Skin_(film),w001277
42,Repossessed_(film),w001278
43,Shakma,w001279
44,Shock_%27Em_Dead,w001280
45,Singapore_Sling_(1990_film),w001281
46,Slumber_Party_Massacre_III,w001283
47,Sorority_House_Massacre_II,w001249
48,Soultaker_(film),w001284
49,The_Suckling,w001285
50,Tremors_(1990_film),w001287
51,Two_Evil_Eyes,w001288
52,Wheels_of_Terror,w001290
53,Whispers_(1990_film),w001291
54,964_Pinocchio,w001294
55,976-Evil_II,w001295
56,Bad_Karma_(1991_film),w001297
57,Blood_Ties_(1991_film),w001299
58,Body_Parts_(film),w001300
59,The_Boneyard,w001301
60,Campfire_Tales_(1991_film),w001302
61,Cape_Fear_(1991_film),w001303
62,Children_of_the_Night_(1991_film),w001306
63,Child%27s_Play_3,w001307
64,The_Devil%27s_Daughter_(1991_film),w001308
65,Dolly_Dearest,w001309
66,The_Haunted_(1991_film),w001312
67,Hauntedween,w001313
68,Hiruko_the_Goblin,w001315
69,Katabi_Ko%27y_Mamaw,w001319
70,Nekromantik_2,w001322
71,The_People_Under_the_Stairs,w001325
72,The_Pit_and_the_Pendulum_(1990_film),w001326
73,The_Resurrected,w001330
74,The_Runestone,w001332
75,"Shake,_Rattle_%26_Roll_III",w001338
76,The_Silence_of_the_Lambs_(film),w001339
77,Sometimes_They_Come_Back_(film),w001341
78,Steel_and_Lace,w001343
79,Subspecies_(film_series),w001344
80,Voodoo_Dawn,w001346
81,Alien_3,w001348
82,All_Night_Long_(1992_film),w001349
83,Army_of_Darkness,w001351
84,Ax_%27Em,w001352
85,Braindead_(film),w001355
86,Bram_Stoker%27s_Dracula_(1992_film),w001356
87,Buffy_the_Vampire_Slayer_(film),w001357
88,Candyman_(1992_film),w001359
89,Demonic_Toys,w001362
90,Dr._Giggles,w001363
91,Drillbit_(film),w001364
92,Dust_Devil_(film),w001365
93,Evil_Toons,w001366
94,Frankenstein_(1992_film),w001367
95,The_Guard_from_Underground,w001371
96,Happy_Hell_Night,w001373
97,Hellmaster,w001374
98,Highway_to_Hell_(film),w001376
99,House_IV,w001377
100,Innocent_Blood_(film),w001378
101,Mad_at_the_Moon,w001380
102,Netherworld_(film),w001381
103,Pet_Sematary_Two,w001383
104,Raising_Cain,w001386
105,Shear_Fear,w001389
106,Sleepwalkers_(1992_film),w001390
